,Stand (cm t.o.v. NAP)
2009-11-29,11.43
2009-11-30,11.55
2009-12-01,11.59
2009-12-02,11.53
2009-12-03,11.450000000000001
2009-12-04,11.43
2009-12-05,11.53
2009-12-06,11.540000000000001
2009-12-07,11.57
2009-12-08,11.540000000000001
2009-12-09,11.59
2009-12-10,11.620000000000001
2009-12-11,11.71
2009-12-12,11.81
2009-12-13,11.76
2009-12-14,11.68
2009-12-15,11.58
2009-12-16,11.51
2009-12-17,11.450000000000001
2009-12-18,11.42
2009-12-19,11.38
2009-12-20,11.35
2009-12-21,11.32
2009-12-22,11.33
2009-12-23,11.35
2009-12-24,11.370000000000001
2009-12-25,11.4
2009-12-26,11.5
2009-12-27,11.65
2009-12-28,11.700000000000001
2009-12-29,11.66
2009-12-30,11.67
2009-12-31,11.84
2010-01-01,12.01
2010-01-02,12.19
2010-01-03,12.24
2010-01-04,12.11
2010-01-05,11.93
2010-01-06,11.790000000000001
2010-01-07,11.72
2010-01-08,11.620000000000001
2010-01-09,11.57
2010-01-10,11.5
2010-01-11,11.48
2010-01-12,11.43
2010-01-13,11.41
2010-01-14,11.38
2010-01-15,11.36
2010-01-16,11.35
2010-01-17,11.33
2010-01-18,11.42
2010-01-19,11.540000000000001
2010-01-20,11.56
2010-01-21,11.52
2010-01-22,11.51
2010-01-23,11.48
2010-01-24,11.43
2010-01-25,11.44
2010-01-26,11.39
2010-01-27,11.38
2010-01-28,11.370000000000001
2010-01-29,11.370000000000001
2010-01-30,11.41
2010-01-31,11.44
2010-02-01,11.43
2010-02-02,11.4
2010-02-03,11.450000000000001
2010-02-04,11.6
2010-02-05,11.870000000000001
2010-02-06,12.06
2010-02-07,12.07
2010-02-08,12.08
2010-02-09,12.030000000000001
2010-02-10,11.94
2010-02-11,11.84
2010-02-12,11.76
2010-02-13,11.72
2010-02-14,11.66
2010-02-15,11.65
2010-02-16,11.58
2010-02-17,11.52
2010-02-18,11.48
2010-02-19,11.450000000000001
2010-02-20,11.46
2010-02-21,11.46
2010-02-22,11.47
2010-02-23,11.48
2010-02-24,11.64
2010-02-25,12.02
2010-02-26,12.280000000000001
2010-02-27,12.39
2010-02-28,12.450000000000001
2010-03-01,12.44
2010-03-02,12.56
2010-03-03,12.61
2010-03-04,12.49
2010-03-05,12.280000000000001
2010-03-06,12.11
2010-03-07,11.97
2010-03-08,11.88
2010-03-09,11.75
2010-03-10,11.67
2010-03-11,11.6
2010-03-12,11.56
2010-03-13,11.52
2010-03-14,11.49
2010-03-15,11.49
2010-03-16,11.47
2010-03-17,11.450000000000001
2010-03-18,11.43
2010-03-19,11.41
2010-03-20,11.38
2010-03-21,11.41
2010-03-22,11.49
2010-03-23,11.55
2010-03-24,11.52
2010-03-25,11.49
2010-03-26,11.46
2010-03-27,11.450000000000001
2010-03-28,11.47
2010-03-29,11.48
2010-03-30,11.51
2010-03-31,11.58
2010-04-01,11.61
2010-04-02,11.64
2010-04-03,11.59
2010-04-04,11.59
2010-04-05,11.67
2010-04-06,11.77
2010-04-07,11.76
2010-04-08,11.65
2010-04-09,11.61
2010-04-10,11.58
2010-04-11,11.52
2010-04-12,11.5
2010-04-13,11.450000000000001
2010-04-14,11.44
2010-04-15,11.41
2010-04-16,11.4
2010-04-17,11.38
2010-04-18,11.370000000000001
2010-04-19,11.370000000000001
2010-04-20,11.34
2010-04-21,11.34
2010-04-22,11.32
2010-04-23,11.31
2010-04-24,11.3
2010-04-25,11.3
2010-04-26,11.34
2010-04-27,11.290000000000001
2010-04-28,11.3
2010-04-29,11.290000000000001
2010-04-30,11.290000000000001
2010-05-01,11.28
2010-05-02,11.32
2010-05-03,11.3
2010-05-04,11.28
2010-05-05,11.27
2010-05-06,11.28
2010-05-07,11.290000000000001
2010-05-08,11.290000000000001
2010-05-09,11.28
2010-05-10,11.290000000000001
2010-05-11,11.26
2010-05-12,11.3
2010-05-13,11.27
2010-05-14,11.28
2010-05-15,11.28
2010-05-16,11.26
2010-05-17,11.27
2010-05-18,11.25
2010-05-19,11.27
2010-05-20,11.25
2010-05-21,11.25
2010-05-22,11.25
2010-05-23,11.27
2010-05-24,11.24
2010-05-25,11.25
2010-05-26,11.24
2010-05-27,11.28
2010-05-28,11.25
2010-05-29,11.24
2010-05-30,11.22
2010-05-31,11.26
2010-06-01,11.25
2010-06-02,11.24
2010-06-03,11.23
2010-06-04,11.22
2010-06-05,11.23
2010-06-06,11.22
2010-06-07,11.24
2010-06-08,11.23
2010-06-09,11.24
2010-06-10,11.22
2010-06-11,11.23
2010-06-12,11.22
2010-06-13,11.25
2010-06-14,11.24
2010-06-15,11.22
2010-06-16,11.22
2010-06-17,11.22
2010-06-18,11.22
2010-06-19,11.24
2010-06-20,11.21
2010-06-21,11.22
2010-06-22,11.22
2010-06-23,11.200000000000001
2010-06-24,11.21
2010-06-25,11.19
2010-06-26,11.21
2010-06-27,11.21
2010-06-28,11.17
2010-06-29,11.17
2010-06-30,11.19
2010-07-01,11.17
2010-07-02,11.17
2010-07-03,11.17
2010-07-04,11.17
2010-07-05,11.16
2010-07-06,11.16
2010-07-07,11.22
2010-07-08,11.23
2010-07-09,11.24
2010-07-10,11.17
2010-07-11,11.21
2010-07-12,11.19
2010-07-13,11.21
2010-07-14,11.21
2010-07-15,11.18
2010-07-16,11.18
2010-07-17,11.200000000000001
2010-07-18,11.200000000000001
2010-07-19,11.19
2010-07-20,11.16
2010-07-21,11.15
2010-07-22,11.18
2010-07-23,11.17
2010-07-24,11.16
2010-07-25,11.22
2010-07-26,11.17
2010-07-27,11.17
2010-07-28,11.18
2010-07-29,11.200000000000001
2010-07-30,11.15
2010-07-31,11.18
2010-08-01,11.17
2010-08-02,11.18
2010-08-03,11.16
2010-08-04,11.19
2010-08-05,11.17
2010-08-06,11.16
2010-08-07,11.17
2010-08-08,11.18
2010-08-09,11.200000000000001
2010-08-10,11.18
2010-08-11,11.19
2010-08-12,11.17
2010-08-13,11.17
2010-08-14,11.16
2010-08-15,11.16
2010-08-16,11.24
2010-08-17,11.33
2010-08-18,11.31
2010-08-19,11.25
2010-08-20,11.22
2010-08-21,11.19
2010-08-22,11.19
2010-08-23,11.21
2010-08-24,11.19
2010-08-25,11.18
2010-08-26,11.19
2010-08-27,11.19
2010-08-28,11.26
2010-08-29,11.27
2010-08-30,11.26
2010-08-31,11.28
2010-09-01,11.24
2010-09-02,11.23
2010-09-03,11.22
2010-09-04,11.21
2010-09-05,11.22
2010-09-06,11.200000000000001
2010-09-07,11.200000000000001
2010-09-08,11.22
2010-09-09,11.21
2010-09-10,11.23
2010-09-11,11.21
2010-09-12,11.19
2010-09-13,11.19
